In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.9140580545332899,Otros servicios,3.3157963981283802,Agricultura y forestal,0.3586676448149941,Carne y derivados,0.1812114620589907,Otros servicios,0.011761888264388903,Otro equipo de transporte,306.55065580589735
"Coque, petróleo refinado y combustible nuclear",0.8195979147481247,Agricultura y forestal,1.9996835102567,Otros servicios,0.13077383924245153,Otros productos alimenticios,0.1084264882366368,Bebidas,0.007527406922508138,Productos de tabaco,106.12758708104266
Otro equipo de transporte,0.7847609127301037,Transporte,1.7893264764607215,Transporte,0.0803558897873027,"Molinería, panadería y pastas",0.05682657944811159,Otro equipo de transporte,0.005885624352614757,Bebidas,59.21183705535781
Confecciones,0.7335848392822808,Servicios a empresas de todo tipo,0.9431509442952447,Servicios a empresas de todo tipo,0.033884825876840365,Azúcar y productos de confitería,0.046470075758543464,"Molinería, panadería y pastas",0.005319209674098155,Calzado,29.53750381982564
Calzado,0.7119200694805027,Hierro y acero,0.8545216743954287,Textiles,0.03256785130410402,Agricultura y forestal,0.04144223077592915,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.005288593460737861,"Molinería, panadería y pastas",25.23915032384103
"Molinería, panadería y pastas",0.6911582994668055,Minería (energía),0.8277987315131199,Productos de caucho y plástico,0.02863045783055738,Productos de tabaco,0.04105070420721456,Calzado,0.005146387210725852,Caza y pesca,10.308826710951829
Bebidas,0.6859775470638578,Textiles,0.7891599268930164,"Pulpa de madera, papel, imprentas y editoriales",0.025592594429275146,Bebidas,0.04092162981455236,Otros productos alimenticios,0.005113553502808197,Otros servicios,7.176165298943953
Otros productos alimenticios,0.6675447789187744,Productos químicos básicos,0.7260395974476771,Minería (energía),0.02444089154340212,Textiles,0.03151591079913993,Confecciones,0.005079682174975012,Confecciones,6.88520815684372
Productos de caucho y plástico,0.6436622564901286,Productos fabricados de metal (excepto maquinarias y equipos),0.647245402137659,Carne y derivados,0.023404731171348375,Madera y productos de madera y corcho,0.023895564658414095,Agricultura y forestal,0.004583518810698798,Azúcar y productos de confitería,6.002818759151099
"Pulpa de madera, papel, imprentas y editoriales",0.6145452536794639,"Pulpa de madera, papel, imprentas y editoriales",0.5961407127110916,Productos químicos básicos,0.022199155328606918,Confecciones,0.02310712439117167,Caza y pesca,0.004340801301992151,Equipo médico e instrumentos ópticos y de precisión,4.9499596575035225
Electricidad y gas,0.5604866001165034,Productos de caucho y plástico,0.5951307399912685,Hierro y acero,0.020227512765849866,Otro equipo de transporte,0.022589401818830394,Azúcar y productos de confitería,0.004003491715470859,Otros productos alimenticios,4.7728463104674415
Azúcar y productos de confitería,0.5405095370634272,Electricidad y gas,0.5904752379157229,Electricidad y gas,0.01907385267096319,Productos farmacéuticos,0.02160822931660608,Construcción,0.0038179102170734208,Productos farmacéuticos,4.606048187077126
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.5393079927547002,Correo y telecomunicaciones,0.3991422844161896,Productos fabricados de metal (excepto maquinarias y equipos),0.01905780243666454,"Pulpa de madera, papel, imprentas y editoriales",0.02063764339541511,Servicios a empresas de todo tipo,0.0033642985393614903,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),4.096598181471301
Productos fabricados de metal (excepto maquinarias y equipos),0.5147129637337673,Finanzas y seguros,0.38236760619335397,Otros productos alimenticios,0.018766227328319098,"Coque, petróleo refinado y combustible nuclear",0.019250955906998612,Transporte,0.00326902550023237,"Pulpa de madera, papel, imprentas y editoriales",3.0997979202481636
Construcción,0.4956814608699117,Otros productos químicos (excluye farmacéuticos),0.3575947153569436,"Molinería, panadería y pastas",0.017763477491563155,Productos de caucho y plástico,0.01868184565859279,"Pulpa de madera, papel, imprentas y editoriales",0.00294357750916848,Agricultura y forestal,2.825953155361602
Maquinarias y equipos (excluye maquinaria eléctrica),0.47784036791050266,Madera y productos de madera y corcho,0.3488625744664846,Correo y telecomunicaciones,0.012503011673826949,Servicios a empresas de todo tipo,0.018102741814066337,Carne y derivados,0.002711448271093574,Construcción,2.648940391598563
Finanzas y seguros,0.47674767225117815,Metales no ferrosos,0.3404312935010802,Azúcar y productos de confitería,0.012187389235960898,Correo y telecomunicaciones,0.01789059142190481,Productos farmacéuticos,0.0027090408664953115,"Vehículos de motor, remolques y semirremolques",2.51042119607718
Productos farmacéuticos,0.4730755148712805,"Coque, petróleo refinado y combustible nuclear",0.29396197639221733,Madera y productos de madera y corcho,0.011965835093009953,Calzado,0.017623425622200515,Aeronaves y naves espaciales,0.0026347560349522796,Aeronaves y naves espaciales,2.4123440001281473
Transporte,0.4637980908781235,Calzado,0.2563473243122437,Otros productos químicos (excluye farmacéuticos),0.011851438836409947,Productos fabricados de metal (excepto maquinarias y equipos),0.017212891805656102,Productos minerales no metálicos,0.002333602644473166,Productos minerales no metálicos,2.2560167900978425
Textiles,0.4468237677113013,Construcción,0.25438091518286116,Finanzas y seguros,0.01178814201895866,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.016488536341042553,Equipo médico e instrumentos ópticos y de precisión,0.002269511836649321,Carne y derivados,2.2135181814436216
Otros productos químicos (excluye farmacéuticos),0.4301150598187261,Carne y derivados,0.2262436134091893,Bebidas,0.00987987012342481,Transporte,0.016315224697455832,Productos de caucho y plástico,0.0021610902269695678,Servicios a empresas de todo tipo,2.0891768004805904
Correo y telecomunicaciones,0.4189948643854161,Otro equipo de transporte,0.21313188749065698,"Coque, petróleo refinado y combustible nuclear",0.008957811565435033,Otros productos químicos (excluye farmacéuticos),0.015544512485209057,"Coque, petróleo refinado y combustible nuclear",0.0018642407431322947,"Radio, televisión y equipos de telecomunicaciones",2.072411814286737
Productos minerales no metálicos,0.4115428217599275,Productos minerales no metálicos,0.1954277994361629,Productos de tabaco,0.00828117475945922,Finanzas y seguros,0.015410550514962288,Otros productos químicos (excluye farmacéuticos),0.001793040906753391,Transporte,2.0717774373062303
Madera y productos de madera y corcho,0.4079026313570509,"Vehículos de motor, remolques y semirremolques",0.19230324545283556,Otro equipo de transporte,0.008076759291358522,Construcción,0.014574746121929157,Correo y telecomunicaciones,0.0017823564505892336,Maquinarias y equipos (excluye maquinaria eléctrica),1.6834047935364913
Productos químicos básicos,0.39524902980240517,"Molinería, panadería y pastas",0.19214192173547806,Calzado,0.0077936500145041766,Electricidad y gas,0.014297789370837978,Maquinarias y equipos (excluye maquinaria eléctrica),0.001758887966266751,Productos de caucho y plástico,1.5421783992091278
Equipo médico e instrumentos ópticos y de precisión,0.3853958874102803,Maquinarias y equipos (excluye maquinaria eléctrica),0.19083001928379098,Construcción,0.006247199563943977,Productos minerales no metálicos,0.013536863524346989,"Vehículos de motor, remolques y semirremolques",0.0017370545505982985,Correo y telecomunicaciones,1.522575677773214
Productos de tabaco,0.3752305258912917,Otros productos alimenticios,0.1746671620234421,Productos minerales no metálicos,0.0059678330079274205,"Radio, televisión y equipos de telecomunicaciones",0.012745816160001894,Productos químicos básicos,0.0016446054538722986,Otros productos químicos (excluye farmacéuticos),1.4134941970534765
"Radio, televisión y equipos de telecomunicaciones",0.3744033611509703,Azúcar y productos de confitería,0.15790727915608035,Maquinarias y equipos (excluye maquinaria eléctrica),0.005167416605718004,Equipo médico e instrumentos ópticos y de precisión,0.012319267150352132,Productos fabricados de metal (excepto maquinarias y equipos),0.0016125701107284932,Finanzas y seguros,1.3951113419732095
Hierro y acero,0.3714824301897609,Bebidas,0.14815863464741974,Metales no ferrosos,0.004967778765997356,Otros servicios,0.012055707436030343,Minería (energía),0.0016033070565631897,Productos fabricados de metal (excepto maquinarias y equipos),1.3635186547467706
"Vehículos de motor, remolques y semirremolques",0.35516861302428315,Maquinarias y aparatos eléctricos,0.12710066525847263,"Vehículos de motor, remolques y semirremolques",0.003891410237710821,Maquinarias y equipos (excluye maquinaria eléctrica),0.011709835153136812,Minería (no energía),0.0015336886800718806,"Coque, petróleo refinado y combustible nuclear",1.3414770713753394
Agricultura y forestal,0.33446814102252087,Productos de tabaco,0.12063257983662201,Maquinarias y aparatos eléctricos,0.0026217397571368134,Productos químicos básicos,0.011620806161997975,Finanzas y seguros,0.0015185673191222965,Minería (no energía),1.3112880925560233
Servicios a empresas de todo tipo,0.3223136427074761,"Radio, televisión y equipos de telecomunicaciones",0.09253377453264153,Caza y pesca,0.0023133959424291523,Caza y pesca,0.010897470745539895,"Radio, televisión y equipos de telecomunicaciones",0.0015116252903021013,Productos químicos básicos,1.2553937442978913
Caza y pesca,0.3133222774991323,Minería (no energía),0.060295953555388006,Confecciones,0.002033212317041668,Hierro y acero,0.01029717482722252,Madera y productos de madera y corcho,0.0013004748780782122,Madera y productos de madera y corcho,1.1496822949053358
Otros servicios,0.29704552835514975,Aeronaves y naves espaciales,0.0549214069528117,"Radio, televisión y equipos de telecomunicaciones",0.0020054591504375273,"Vehículos de motor, remolques y semirremolques",0.008528414427453234,Electricidad y gas,0.001161485385632861,Electricidad y gas,1.1093524186650099
Maquinarias y aparatos eléctricos,0.27740266983525264,Confecciones,0.05489694708610212,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0014822502591598894,Minería (energía),0.007688082047023546,Maquinarias y aparatos eléctricos,0.0011289476095561535,Minería (energía),1.0574353310485867
Minería (energía),0.2350867219870099,Caza y pesca,0.05283419097696143,Productos farmacéuticos,0.0013955111774153638,Aeronaves y naves espaciales,0.006115318833766463,Textiles,0.0010932770316001011,Equipos de oficina (incluye equipo computacional),1.0500127372753916
Aeronaves y naves espaciales,0.22907371122209244,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.04360520634099137,Minería (no energía),0.0012536652474609217,Minería (no energía),0.00598637500305088,Productos de tabaco,0.0010230590438938061,Textiles,0.9508752733337037
Minería (no energía),0.20903744000855698,Equipo médico e instrumentos ópticos y de precisión,0.03307583685501336,Aeronaves y naves espaciales,0.0009300656552545822,Maquinarias y aparatos eléctricos,0.0057689875179504305,Hierro y acero,0.0005945223716840715,Maquinarias y aparatos eléctricos,0.909754928178115
Metales no ferrosos,0.1978818919946851,Productos farmacéuticos,0.03254353670995567,Equipo médico e instrumentos ópticos y de precisión,0.0007027582759065294,Equipos de oficina (incluye equipo computacional),0.005696880856441112,Metales no ferrosos,0.0004063919235156997,Hierro y acero,0.5046115475072529
Equipos de oficina (incluye equipo computacional),0.09489271748405265,Equipos de oficina (incluye equipo computacional),0.020994158752649154,Equipos de oficina (incluye equipo computacional),0.00032846740186937993,Metales no ferrosos,0.0039361437152736,Equipos de oficina (incluye equipo computacional),0.00030783938884735294,Metales no ferrosos,0.40043852523103773
