In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.7895710868642851,Otros servicios,3.3827674984548626,Agricultura y forestal,0.2402060828260165,Carne y derivados,0.09856110834618402,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.028347497812351907,Calzado,16.389364865600438
Productos de tabaco,0.7124619589614208,Agricultura y forestal,2.0376249178281087,Otros servicios,0.19250765459643018,"Molinería, panadería y pastas",0.06983854746515442,Otros servicios,0.02478640298834767,"Vehículos de motor, remolques y semirremolques",8.714299389842061
Electricidad y gas,0.6699149686744336,Servicios a empresas de todo tipo,1.8103235511600093,Servicios a empresas de todo tipo,0.10051143924198522,Productos de tabaco,0.06061559692459266,Maquinarias y aparatos eléctricos,0.0216968873865769,Aeronaves y naves espaciales,8.711060649622922
"Molinería, panadería y pastas",0.6520053549664087,Electricidad y gas,0.8594005984065223,Electricidad y gas,0.03893767739045599,Azúcar y productos de confitería,0.05299883752214685,Equipo médico e instrumentos ópticos y de precisión,0.02164656626167808,Otro equipo de transporte,8.711060526582203
Otros productos alimenticios,0.6393619305475613,Hierro y acero,0.8208080186598783,Transporte,0.03420426294881902,Bebidas,0.04496463316765145,"Radio, televisión y equipos de telecomunicaciones",0.019947693373253923,"Molinería, panadería y pastas",6.9903111885561415
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.6355615540602906,Transporte,0.8015189994329444,Madera y productos de madera y corcho,0.03226770063316591,Madera y productos de madera y corcho,0.04153220545675298,Equipos de oficina (incluye equipo computacional),0.018682702460747748,Otros productos alimenticios,5.560661515063008
Metales no ferrosos,0.6294115785261589,Madera y productos de madera y corcho,0.635630891244872,Hierro y acero,0.030430075088820254,Otros productos alimenticios,0.04012817910428066,Calzado,0.015557907909747749,Bebidas,4.461297545882407
Calzado,0.6080049234023215,Finanzas y seguros,0.6003181600554321,Finanzas y seguros,0.029317335205226842,Calzado,0.035225470135807194,Otros productos alimenticios,0.015557431054296486,Maquinarias y aparatos eléctricos,4.132366874987696
Azúcar y productos de confitería,0.6077702016075521,Textiles,0.5398140544278546,"Pulpa de madera, papel, imprentas y editoriales",0.02902594987150144,Textiles,0.029320261382964587,Confecciones,0.015225031444672719,Equipo médico e instrumentos ópticos y de precisión,4.116542583485135
Maquinarias y aparatos eléctricos,0.5636651332090584,"Coque, petróleo refinado y combustible nuclear",0.52362356868159,Textiles,0.027530542123392582,Agricultura y forestal,0.0256584582083175,Bebidas,0.015090025252664705,"Radio, televisión y equipos de telecomunicaciones",3.609646069918994
Equipo médico e instrumentos ópticos y de precisión,0.5614865614947945,Minería (no energía),0.5185068277984497,"Coque, petróleo refinado y combustible nuclear",0.0208019690944822,Hierro y acero,0.02519552892406676,"Vehículos de motor, remolques y semirremolques",0.013398951922065666,Equipos de oficina (incluye equipo computacional),3.263770338960846
Bebidas,0.5216613949945021,"Pulpa de madera, papel, imprentas y editoriales",0.4919885285532004,Azúcar y productos de confitería,0.020734943420480406,Productos químicos básicos,0.02375569755747888,Aeronaves y naves espaciales,0.013398075980000555,Productos farmacéuticos,3.2365318650138524
Confecciones,0.5157274627171697,Minería (energía),0.39103701501414984,Productos de caucho y plástico,0.017326176074946267,Confecciones,0.023582100653841392,Otro equipo de transporte,0.013398075946712601,Caza y pesca,3.168496912527274
"Radio, televisión y equipos de telecomunicaciones",0.49170078901104913,Productos de caucho y plástico,0.36483336845359143,Caza y pesca,0.01539130187949389,Productos farmacéuticos,0.02343708128195959,"Coque, petróleo refinado y combustible nuclear",0.012440470831234517,Carne y derivados,3.11373740086067
Madera y productos de madera y corcho,0.4660198233873336,Maquinarias y aparatos eléctricos,0.2693797054308262,Minería (no energía),0.014643184732575544,Maquinarias y aparatos eléctricos,0.022082615442748615,"Molinería, panadería y pastas",0.011720524891851063,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3.105999451305493
Equipos de oficina (incluye equipo computacional),0.4440831699856498,Otros productos químicos (excluye farmacéuticos),0.25001899464385735,Carne y derivados,0.014521829453329896,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.022069780791420367,Construcción,0.011450296597954152,Otros servicios,2.774731574836896
Textiles,0.43532071396780564,"Vehículos de motor, remolques y semirremolques",0.24317584010675306,"Molinería, panadería y pastas",0.013885565059339272,Equipo médico e instrumentos ópticos y de precisión,0.021997265900003886,Carne y derivados,0.011356398319887153,Confecciones,2.3885997497351057
Construcción,0.4323198274756866,Caza y pesca,0.24283852333076159,Otros productos alimenticios,0.013850892735149918,Electricidad y gas,0.02023727236790635,Caza y pesca,0.011027840076106226,Azúcar y productos de confitería,2.25746418996946
Productos minerales no metálicos,0.42009715675862447,Correo y telecomunicaciones,0.23047425764148272,Calzado,0.012735326980117888,Construcción,0.019844776483976458,Metales no ferrosos,0.01092444762094054,"Coque, petróleo refinado y combustible nuclear",1.513248683518958
"Coque, petróleo refinado y combustible nuclear",0.4084472015141882,Productos minerales no metálicos,0.2291097068303742,Maquinarias y aparatos eléctricos,0.011185119475189737,"Radio, televisión y equipos de telecomunicaciones",0.019263280265022047,Otros productos químicos (excluye farmacéuticos),0.010736289904472358,Productos minerales no metálicos,1.3958876481787035
Minería (energía),0.40502330887779947,Otros productos alimenticios,0.20767809024563438,Minería (energía),0.01059349928904058,Productos de caucho y plástico,0.01838023858232015,Agricultura y forestal,0.01026099591905491,Correo y telecomunicaciones,1.3882038766259988
Hierro y acero,0.3852312047600769,Azúcar y productos de confitería,0.20369516999725018,Otros productos químicos (excluye farmacéuticos),0.010356679005045579,Finanzas y seguros,0.01801607419167014,Servicios a empresas de todo tipo,0.009950503271373654,Construcción,1.3584857865981619
Finanzas y seguros,0.38222396015650745,Calzado,0.19196881205610017,Correo y telecomunicaciones,0.009629123028434003,Equipos de oficina (incluye equipo computacional),0.01739777270160282,Finanzas y seguros,0.009410291525755185,Metales no ferrosos,1.3373248414165047
"Pulpa de madera, papel, imprentas y editoriales",0.37841254303756755,Productos químicos básicos,0.18662704413004133,Productos minerales no metálicos,0.009422051252132602,Minería (no energía),0.016858594636766228,Correo y telecomunicaciones,0.009270302746874308,Finanzas y seguros,1.3359503816553775
Productos químicos básicos,0.37725019842857455,Metales no ferrosos,0.18500655119871906,Productos químicos básicos,0.008708221695817335,Otros productos químicos (excluye farmacéuticos),0.015881623140373387,Productos minerales no metálicos,0.009107531181408036,Otros productos químicos (excluye farmacéuticos),1.2985274570663023
Agricultura y forestal,0.33977178061113966,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.16119356663800163,Metales no ferrosos,0.00686290514365934,"Pulpa de madera, papel, imprentas y editoriales",0.015418779733756804,Minería (no energía),0.008534142079322692,Electricidad y gas,1.2946748721533738
Caza y pesca,0.308702166776863,Equipo médico e instrumentos ópticos y de precisión,0.15098064490553545,Equipo médico e instrumentos ópticos y de precisión,0.0062689821009669884,Productos minerales no metálicos,0.015347963156108143,Hierro y acero,0.007924396840453894,Agricultura y forestal,1.2421645702500586
Transporte,0.2943349882411066,"Radio, televisión y equipos de telecomunicaciones",0.11645539938758873,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.006221293301730089,Transporte,0.014684393185687327,Productos fabricados de metal (excepto maquinarias y equipos),0.007815706589326553,Minería (energía),1.2225292452990306
Correo y telecomunicaciones,0.2890168740782095,"Molinería, panadería y pastas",0.10529278220504164,"Vehículos de motor, remolques y semirremolques",0.005369691601159033,Minería (energía),0.014411120540685237,Productos farmacéuticos,0.00672089875606956,Servicios a empresas de todo tipo,1.190976101692578
Minería (no energía),0.2869951890546313,Carne y derivados,0.10337317804983409,"Radio, televisión y equipos de telecomunicaciones",0.00483543314296036,Metales no ferrosos,0.014253385263074474,Minería (energía),0.006628830932054376,Productos químicos básicos,1.0458487780208046
Productos fabricados de metal (excepto maquinarias y equipos),0.27857052075967814,Productos fabricados de metal (excepto maquinarias y equipos),0.07594633016633283,Productos fabricados de metal (excepto maquinarias y equipos),0.003069845600081228,Productos fabricados de metal (excepto maquinarias y equipos),0.013811277573967922,Productos químicos básicos,0.005860826783004336,Hierro y acero,1.030430969267381
Productos farmacéuticos,0.2743163131569516,Maquinarias y equipos (excluye maquinaria eléctrica),0.06704865025058862,Maquinarias y equipos (excluye maquinaria eléctrica),0.0027244699802179673,Correo y telecomunicaciones,0.01367892903216067,Azúcar y productos de confitería,0.005831585656134389,Minería (no energía),1.0261630054049906
"Vehículos de motor, remolques y semirremolques",0.2589298281206356,Construcción,0.05487905427944968,Construcción,0.0014553255820536903,Servicios a empresas de todo tipo,0.012809389104607048,Electricidad y gas,0.005767356335900262,Textiles,0.9634327539997419
Aeronaves y naves espaciales,0.25883317188379523,Equipos de oficina (incluye equipo computacional),0.02930308319650104,Bebidas,0.0014301877023224028,"Coque, petróleo refinado y combustible nuclear",0.012658231915250503,Textiles,0.005731709486182448,Productos fabricados de metal (excepto maquinarias y equipos),0.960014456303399
