In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.7797443305645878,Otros servicios,2.893652895008843,Agricultura y forestal,0.3827675317196849,Carne y derivados,0.14196346798682663,Otros servicios,0.04329542604739903,Caza y pesca,42.62898382836255
"Molinería, panadería y pastas",0.777648091179633,Agricultura y forestal,2.210896815332911,Otros servicios,0.22971153339607053,Madera y productos de madera y corcho,0.1031479865648561,Construcción,0.027967306321258805,Calzado,28.20129280693341
Madera y productos de madera y corcho,0.6707718359291626,Servicios a empresas de todo tipo,0.5703175141518538,Transporte,0.0496123848396551,Azúcar y productos de confitería,0.10140550611652983,Bebidas,0.02770875968304351,"Molinería, panadería y pastas",23.960458609342304
Calzado,0.6676816629442195,Transporte,0.5628139168696077,Textiles,0.04388590760180731,"Molinería, panadería y pastas",0.09474077996209934,Productos de tabaco,0.027702492309237194,Otros servicios,7.473148482699758
Azúcar y productos de confitería,0.6673050042519372,"Coque, petróleo refinado y combustible nuclear",0.47705160642086053,"Molinería, panadería y pastas",0.03182157880587989,Otros productos alimenticios,0.08880006466948516,"Molinería, panadería y pastas",0.022587194974275557,Bebidas,6.022291180552943
Otros productos alimenticios,0.6498026638063524,Textiles,0.45461942443066844,Servicios a empresas de todo tipo,0.02431463822823345,Confecciones,0.05190202122255808,Correo y telecomunicaciones,0.022372300283896737,Productos de tabaco,6.021298926790775
Construcción,0.5260221105234197,Correo y telecomunicaciones,0.41870784496414093,Correo y telecomunicaciones,0.023664960481621228,Textiles,0.051872940284156586,Transporte,0.022285770269127494,Otros productos alimenticios,4.7347471572809345
Textiles,0.5240137713688569,Finanzas y seguros,0.3544507984495585,Otros productos alimenticios,0.023657865540668847,Calzado,0.03511257547559616,Servicios a empresas de todo tipo,0.02131807270476613,Construcción,4.531213574214764
Confecciones,0.5193312032312436,"Pulpa de madera, papel, imprentas y editoriales",0.2948292744942885,"Coque, petróleo refinado y combustible nuclear",0.02269976193356017,Caza y pesca,0.030066620885337868,Azúcar y productos de confitería,0.01987992325653825,Madera y productos de madera y corcho,4.358600007604211
Correo y telecomunicaciones,0.40867744689612995,Electricidad y gas,0.27175257085314364,Finanzas y seguros,0.01912816654484893,Productos minerales no metálicos,0.027317453427799166,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.01710516306321471,Textiles,4.308254176779944
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.39266181785067444,Productos farmacéuticos,0.26480949259954256,Confecciones,0.01828589305214712,Agricultura y forestal,0.0268810197063717,Calzado,0.016616821975831517,Confecciones,4.2680773043600775
"Pulpa de madera, papel, imprentas y editoriales",0.39112110382458276,Productos minerales no metálicos,0.2285027484007527,Electricidad y gas,0.015957438183282473,Construcción,0.02561894943477856,Otros productos alimenticios,0.0153302293751771,Transporte,4.047725748089855
Caza y pesca,0.38614826877385156,Calzado,0.21754467574488176,Madera y productos de madera y corcho,0.01564078191968754,Otros servicios,0.021211388850040647,Textiles,0.014405769358212701,"Pulpa de madera, papel, imprentas y editoriales",4.033199897501567
Otros servicios,0.32099827440817685,"Molinería, panadería y pastas",0.2104416374595481,Calzado,0.013628805319194685,Correo y telecomunicaciones,0.019844131907117795,Confecciones,0.014345836614631109,Correo y telecomunicaciones,3.9808528455944083
Bebidas,0.30150800133619177,Hierro y acero,0.19929846738088103,Productos minerales no metálicos,0.010345783408262192,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.017777144163162763,Carne y derivados,0.014232905997550067,Servicios a empresas de todo tipo,3.8697091506153947
Productos de tabaco,0.2997779345273453,Confecciones,0.18948575799708411,Productos farmacéuticos,0.010275431707087055,Transporte,0.015816537874192092,Caza y pesca,0.01311430079953176,Azúcar y productos de confitería,3.641170968589857
Productos minerales no metálicos,0.2982099207103335,Otros productos alimenticios,0.1531651166936126,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.008588448542524255,Bebidas,0.014781721366082069,Minería (no energía),0.012413846250979677,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3.429948153589013
Servicios a empresas de todo tipo,0.25972939899785713,Maquinarias y equipos (excluye maquinaria eléctrica),0.1462675907153569,"Pulpa de madera, papel, imprentas y editoriales",0.00815131235691291,Productos de tabaco,0.014757724810683276,Electricidad y gas,0.011084549844293535,Carne y derivados,3.166384258080581
Agricultura y forestal,0.2561514383803612,Azúcar y productos de confitería,0.12991083944834889,Maquinarias y equipos (excluye maquinaria eléctrica),0.0075162931485537226,"Pulpa de madera, papel, imprentas y editoriales",0.013612261937491023,Agricultura y forestal,0.010547594495243359,Minería (no energía),2.1693512750747415
Transporte,0.25391367522871444,Productos de caucho y plástico,0.1295669075691093,Azúcar y productos de confitería,0.0065668471670688065,Electricidad y gas,0.013227312058917369,"Pulpa de madera, papel, imprentas y editoriales",0.00972645321245285,Electricidad y gas,2.086503688996394
Finanzas y seguros,0.24966742641632253,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.123218864279691,Carne y derivados,0.00628488640759236,Servicios a empresas de todo tipo,0.010973024632329681,Madera y productos de madera y corcho,0.00961048711126879,Productos minerales no metálicos,2.054676893719965
Electricidad y gas,0.1926341632253792,Madera y productos de madera y corcho,0.11887927020216801,Productos de caucho y plástico,0.005027649463155062,Finanzas y seguros,0.00960243313242416,Productos minerales no metálicos,0.009238418172284057,Agricultura y forestal,1.9889018873056574
Minería (no energía),0.1799914452968092,Construcción,0.08640247568306739,Hierro y acero,0.004761624990685469,Productos químicos básicos,0.008795362843204172,Finanzas y seguros,0.009175558225398502,Finanzas y seguros,1.6653262759556322
Productos químicos básicos,0.12607030447023027,Productos químicos básicos,0.0841763864673269,Construcción,0.003581688441687966,Otros productos químicos (excluye farmacéuticos),0.008747285379151527,Maquinarias y equipos (excluye maquinaria eléctrica),0.005009691414801346,Maquinarias y equipos (excluye maquinaria eléctrica),0.940164016134503
Otros productos químicos (excluye farmacéuticos),0.12037691718594273,Bebidas,0.06089287410003908,Productos químicos básicos,0.0031535508760122235,Productos farmacéuticos,0.008697509743316624,Productos fabricados de metal (excepto maquinarias y equipos),0.004849990284239844,Productos fabricados de metal (excepto maquinarias y equipos),0.9038912365986121
Productos farmacéuticos,0.10951483478632032,Otros productos químicos (excluye farmacéuticos),0.06086496882175908,Otros productos químicos (excluye farmacéuticos),0.0024156987597547747,Productos de caucho y plástico,0.008697509742381381,Otro equipo de transporte,0.004149088723163175,Otro equipo de transporte,0.7756586930053014
Productos de caucho y plástico,0.10951483477454427,Carne y derivados,0.0488788888016369,Bebidas,0.002301701340767187,Minería (no energía),0.006840781593837253,"Radio, televisión y equipos de telecomunicaciones",0.003727186505289253,Maquinarias y aparatos eléctricos,0.7046972399955218
Metales no ferrosos,0.10486487194661386,Productos de tabaco,0.040426383969909434,Productos de tabaco,0.0015280845839702204,Maquinarias y equipos (excluye maquinaria eléctrica),0.003332903886180189,Equipos de oficina (incluye equipo computacional),0.003711112375220139,"Radio, televisión y equipos de telecomunicaciones",0.7005062769678311
Productos fabricados de metal (excepto maquinarias y equipos),0.08673998625747735,Otro equipo de transporte,0.030199064882821435,Otro equipo de transporte,0.0012846837858370907,Metales no ferrosos,0.0032408847816446794,Maquinarias y aparatos eléctricos,0.0037068604413181294,Equipos de oficina (incluye equipo computacional),0.6986502896356639
Maquinarias y equipos (excluye maquinaria eléctrica),0.08506371745760173,Metales no ferrosos,0.0232779177211463,Productos fabricados de metal (excepto maquinarias y equipos),0.0008915618298075762,Productos fabricados de metal (excepto maquinarias y equipos),0.0032236134057790885,Productos químicos básicos,0.0031721269661567123,Productos químicos básicos,0.6482515669050423
Hierro y acero,0.0721885870785756,Productos fabricados de metal (excepto maquinarias y equipos),0.018795244382311,Caza y pesca,0.0007650803078069817,Otro equipo de transporte,0.003186287483464168,Otros productos químicos (excluye farmacéuticos),0.0030890570098932248,Otros productos químicos (excluye farmacéuticos),0.5991856419893179
Otro equipo de transporte,0.07148694018176213,Caza y pesca,0.014218376037038799,Minería (no energía),0.0005665425279285857,Hierro y acero,0.0031515055401856204,Productos farmacéuticos,0.0030682245194920757,Productos farmacéuticos,0.5917312619423268
"Coque, petróleo refinado y combustible nuclear",0.06443361357348151,Minería (no energía),0.013128786888779208,Metales no ferrosos,0.0005483970907850779,Maquinarias y aparatos eléctricos,0.003118312532061365,Productos de caucho y plástico,0.003068149830733073,Productos de caucho y plástico,0.5917267498216487
Maquinarias y aparatos eléctricos,0.0637395922782106,"Radio, televisión y equipos de telecomunicaciones",0.00729875910155444,"Radio, televisión y equipos de telecomunicaciones",0.0003379639923190349,"Radio, televisión y equipos de telecomunicaciones",0.003114843592944177,Metales no ferrosos,0.0015971496300025258,Metales no ferrosos,0.4338728208767016
"Radio, televisión y equipos de telecomunicaciones",0.06349434697005611,Maquinarias y aparatos eléctricos,0.002949564888492041,Maquinarias y aparatos eléctricos,0.00019044906992232114,Equipos de oficina (incluye equipo computacional),0.003112806850627603,"Coque, petróleo refinado y combustible nuclear",0.0014487304707064587,Hierro y acero,0.3339302983493754
