In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.8112441525885403,Otros servicios,3.496565855072063,Agricultura y forestal,0.2395029627706986,Carne y derivados,0.11929069049599438,Otros productos alimenticios,0.029783912976660575,Calzado,14.674370618287039
Azúcar y productos de confitería,0.6418147108310732,Agricultura y forestal,1.6763648525045638,Otros servicios,0.18900018409321398,Azúcar y productos de confitería,0.05809953905569845,Equipo médico e instrumentos ópticos y de precisión,0.029706133659629704,Equipo médico e instrumentos ópticos y de precisión,11.858475213996114
Otros productos alimenticios,0.6042132972985667,Servicios a empresas de todo tipo,1.2003505719437424,Servicios a empresas de todo tipo,0.0575422008566374,"Molinería, panadería y pastas",0.049969452797866784,Otros servicios,0.029255372014984456,"Radio, televisión y equipos de telecomunicaciones",11.542389716093465
Metales no ferrosos,0.575545271528069,Transporte,0.9155229177972586,Transporte,0.04385322749646981,Madera y productos de madera y corcho,0.04773887014024209,"Radio, televisión y equipos de telecomunicaciones",0.025639685025401593,"Molinería, panadería y pastas",9.649608340966301
Maquinarias y equipos (excluye maquinaria eléctrica),0.568966115748265,Metales no ferrosos,0.7425029910939833,Textiles,0.031307993085255025,Otros productos alimenticios,0.0443008875565691,Equipos de oficina (incluye equipo computacional),0.022101833894673163,Equipos de oficina (incluye equipo computacional),6.480638844859339
Madera y productos de madera y corcho,0.5676566928611476,Minería (no energía),0.6301228221178439,Finanzas y seguros,0.02891056995225587,Productos de tabaco,0.04009559430040649,Bebidas,0.019769033659963815,Bebidas,4.850067496558079
Confecciones,0.5611457896496759,Finanzas y seguros,0.6257545062803067,Productos de caucho y plástico,0.026522887580866215,Textiles,0.03489388151618363,Caza y pesca,0.01924360716768061,Confecciones,4.491221187101464
"Molinería, panadería y pastas",0.5550167929925822,"Coque, petróleo refinado y combustible nuclear",0.578164777967757,"Coque, petróleo refinado y combustible nuclear",0.02627760870828652,Hierro y acero,0.029177537638129525,Calzado,0.01769418059015066,Productos farmacéuticos,4.158920356854536
Calzado,0.5281319568414344,Textiles,0.5705466135482115,Metales no ferrosos,0.025403456754657397,Productos farmacéuticos,0.02787056368632325,Maquinarias y aparatos eléctricos,0.016618115762352042,Otros productos alimenticios,3.7007350683031155
Textiles,0.5111635663770124,Minería (energía),0.5566847818537641,"Pulpa de madera, papel, imprentas y editoriales",0.023869081370686197,Bebidas,0.026659875709488266,Maquinarias y equipos (excluye maquinaria eléctrica),0.01641325868502447,Azúcar y productos de confitería,3.476837783935742
Maquinarias y aparatos eléctricos,0.48862186361037724,Productos de caucho y plástico,0.5193710965927286,Otros productos alimenticios,0.02322073216542173,Transporte,0.026212956131866826,Construcción,0.014090446682284215,Otros servicios,3.2779839684472094
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.4838787980189878,"Pulpa de madera, papel, imprentas y editoriales",0.5103079120941458,Electricidad y gas,0.022679192745759393,Servicios a empresas de todo tipo,0.02570086528852623,Azúcar y productos de confitería,0.012747232544137278,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3.2420952848861346
Bebidas,0.48135132882331055,Productos fabricados de metal (excepto maquinarias y equipos),0.5098879396002056,Madera y productos de madera y corcho,0.021447256170323642,Equipo médico e instrumentos ópticos y de precisión,0.025261008300158337,"Molinería, panadería y pastas",0.011789154745041067,Otro equipo de transporte,2.4925068830690247
Productos químicos básicos,0.47580701455985674,Electricidad y gas,0.5052135768809694,Productos fabricados de metal (excepto maquinarias y equipos),0.020767877820485153,Confecciones,0.02497333088397237,Otro equipo de transporte,0.011367968831704663,Maquinarias y aparatos eléctricos,2.3069054764461705
Productos minerales no metálicos,0.46050733180022374,Hierro y acero,0.43089649004112957,Otros productos químicos (excluye farmacéuticos),0.02001383570468168,Productos químicos básicos,0.02383498440701263,Servicios a empresas de todo tipo,0.011346770000667637,Madera y productos de madera y corcho,2.164221446510277
Productos farmacéuticos,0.45889328867200085,Otros productos químicos (excluye farmacéuticos),0.41712179517566034,Carne y derivados,0.019740384861109014,Agricultura y forestal,0.023809220306326925,Productos químicos básicos,0.01088644354032681,Caza y pesca,2.0998272280261916
"Radio, televisión y equipos de telecomunicaciones",0.45803838817874554,Correo y telecomunicaciones,0.3056888905364647,Minería (no energía),0.019663575110719946,Otro equipo de transporte,0.022493720198238715,Carne y derivados,0.01018084765528173,Maquinarias y equipos (excluye maquinaria eléctrica),2.0230040177008983
Transporte,0.4537052899131321,Madera y productos de madera y corcho,0.2899906717188121,Hierro y acero,0.017124992951408763,"Radio, televisión y equipos de telecomunicaciones",0.022487332593370053,Productos farmacéuticos,0.010073089904745357,Construcción,1.8388474699201642
Otro equipo de transporte,0.4443283510307683,Maquinarias y aparatos eléctricos,0.27332921977854774,"Molinería, panadería y pastas",0.015802077712216606,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.021834111946002686,"Vehículos de motor, remolques y semirremolques",0.009687534163318672,Carne y derivados,1.79778988471181
Construcción,0.4441265380037201,Productos minerales no metálicos,0.26999290114275026,Caza y pesca,0.014043608840750413,Correo y telecomunicaciones,0.021465916002769245,Otros productos químicos (excluye farmacéuticos),0.009238487929624692,Textiles,1.787618182417215
Hierro y acero,0.43253664982037404,Otros productos alimenticios,0.26600396124157355,Correo y telecomunicaciones,0.012960574949401484,Calzado,0.021383606636047735,Confecciones,0.00898721512475614,"Vehículos de motor, remolques y semirremolques",1.6813794037659955
Equipo médico e instrumentos ópticos y de precisión,0.42368513843851463,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.2404761659841273,Azúcar y productos de confitería,0.011776959748414452,Productos fabricados de metal (excepto maquinarias y equipos),0.020869703426757532,Hierro y acero,0.00887155826013806,"Pulpa de madera, papel, imprentas y editoriales",1.5368705882899567
"Pulpa de madera, papel, imprentas y editoriales",0.4216138106372908,"Molinería, panadería y pastas",0.16718147631226013,Maquinarias y aparatos eléctricos,0.011456350710882123,"Vehículos de motor, remolques y semirremolques",0.019618332309487476,Agricultura y forestal,0.008665182826910083,Servicios a empresas de todo tipo,1.424162495667308
Correo y telecomunicaciones,0.4216043331306731,Calzado,0.16425437359329806,Minería (energía),0.011282030834384027,Otros productos químicos (excluye farmacéuticos),0.018805539161538765,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.008363811250661607,Productos químicos básicos,1.3257450491941027
Electricidad y gas,0.41701332927658546,Caza y pesca,0.1635861726242551,Productos minerales no metálicos,0.010666818730828162,Productos minerales no metálicos,0.018790795893023435,Productos fabricados de metal (excepto maquinarias y equipos),0.008193394286043685,Otros productos químicos (excluye farmacéuticos),1.2826454820658058
Otros productos químicos (excluye farmacéuticos),0.4026847379871474,Productos químicos básicos,0.16190871993115055,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.010102285330636894,Maquinarias y aparatos eléctricos,0.01721810417293776,Textiles,0.007964384843819764,Correo y telecomunicaciones,1.2814770707014302
Servicios a empresas de todo tipo,0.3979023689592874,Carne y derivados,0.15717877876963018,Calzado,0.00692592032198559,Construcción,0.016824124410021582,Transporte,0.007741986550478576,Agricultura y forestal,1.0554631777340193
"Vehículos de motor, remolques y semirremolques",0.3905535298870093,Equipos de oficina (incluye equipo computacional),0.15444953468565611,Productos químicos básicos,0.006910073249761337,Otros servicios,0.016354466480659833,"Pulpa de madera, papel, imprentas y editoriales",0.007695595045826003,Productos fabricados de metal (excepto maquinarias y equipos),1.047956383645659
Productos fabricados de metal (excepto maquinarias y equipos),0.38676200947889894,Azúcar y productos de confitería,0.13235738315150924,Equipos de oficina (incluye equipo computacional),0.0061349109105508035,"Pulpa de madera, papel, imprentas y editoriales",0.01630358077249958,Madera y productos de madera y corcho,0.007139593013771629,Transporte,1.018412619733904
Productos de tabaco,0.3602053511236778,Confecciones,0.10855145418696839,Confecciones,0.005649085800366516,Maquinarias y equipos (excluye maquinaria eléctrica),0.01629209918746451,Productos de caucho y plástico,0.006884207083738644,Hierro y acero,1.0163989813078933
